origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank,rank_score
2024-10-23,ILI incidence,2024-10-20,1,AT,ECDC,SARIMA,WIS,328.856452039988,-0.14395825585488572,10,3,0.8821534790717733
2024-10-23,ILI incidence,2024-10-20,1,AT,ItaLuxColab,EpiEKF,WIS,164.33842175306,0.8568299030088936,10,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,AT,ItaLuxColab,EpiNetEKF,WIS,376.027352086987,-0.3373378869803455,10,5,0.8483643165714875
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,CATBoost,WIS,545.332289341203,-0.8736358607023832,10,7,0.7270888685456162
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,NBEATS,WIS,1560.37480018061,-2.390320979412126,10,10,0.0
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,NHiTS,WIS,1387.68861278294,-2.221112249030999,10,9,0.12369748386655803
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,Prophet,WIS,731.07845733016,-1.296526520722003,10,8,0.5940363415060448
2024-10-23,ILI incidence,2024-10-20,1,AT,RIVM,KFdlm,WIS,356.703619015176,-0.2612261332298626,10,4,0.8622061715334454
2024-10-23,ILI incidence,2024-10-20,1,AT,respicast,hubEnsemble,WIS,507.738829458428,-0.7705868749336786,10,6,0.7540175793325937
2024-10-23,ILI incidence,2024-10-20,1,AT,respicast,quantileBaseline,WIS,297.625826086956,0.0,10,2,0.9045244046691486
2024-10-23,ILI incidence,2024-10-20,1,BE,ECDC,SARIMA,WIS,17.7260004376671,-0.11474376222259797,18,6,0.9003496531348151
2024-10-23,ILI incidence,2024-10-20,1,BE,ECDC,soca_simplex,WIS,97.1567753002521,-2.5691913149347663,18,18,0.0
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,FluABCaster,WIS,37.3845412401698,-1.1913185374956308,18,14,0.6775196426849597
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,FluBcast,WIS,15.3109775651105,0.09655689378796095,18,4,0.9277239927327935
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,RC_AdaptEns2,WIS,32.5605497704197,-0.9920017672751232,18,12,0.7321996965309492
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,SEIR_BRW,WIS,36.8923772159036,-1.1721994624566776,18,13,0.6830983331774055
2024-10-23,ILI incidence,2024-10-20,1,BE,ItaLuxColab,EpiEKF,WIS,24.2532888849209,-0.5670571064789497,18,11,0.826362689019675
2024-10-23,ILI incidence,2024-10-20,1,BE,ItaLuxColab,EpiNetEKF,WIS,20.3815821601158,-0.3161427560709408,18,8,0.8702485734611723
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,CATBoost,WIS,20.6045711753077,-0.3318411465970148,18,9,0.8677209878644282
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,NBEATS,WIS,13.7923685121372,0.24725306502024097,18,2,0.9449374611454747
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,NHiTS,WIS,8.93463339568769,0.8736428526159624,18,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,Prophet,WIS,40.6087447825454,-1.310667142407115,18,15,0.6409732216531123
2024-10-23,ILI incidence,2024-10-20,1,BE,QMUL,ARIMA,WIS,13.8094002070766,0.24547263238235337,18,3,0.9447444064930743
2024-10-23,ILI incidence,2024-10-20,1,BE,RIVM,KFdlm,WIS,49.840764903152,-1.6062029176842134,18,16,0.5363280620446155
2024-10-23,ILI incidence,2024-10-20,1,BE,fjordhest,ensemble,WIS,20.7836391304348,-0.3443249945774553,18,10,0.8656912484899204
2024-10-23,ILI incidence,2024-10-20,1,BE,respicast,hubEnsemble,WIS,18.8546589552642,-0.20379776332069646,18,7,0.8875562829759036
2024-10-23,ILI incidence,2024-10-20,1,BE,respicast,quantileBaseline,WIS,16.3707826086957,0.0,18,5,0.9157110782795075
2024-10-23,ILI incidence,2024-10-20,1,BE,safinea,syndromic,WIS,77.9843428366956,-2.2520612067998154,18,17,0.21731996128927075
2024-10-23,ILI incidence,2024-10-20,1,CH,ECDC,SARIMA,WIS,19.0125625657614,-0.2938213560620095,11,5,0.5959142828278695
2024-10-23,ILI incidence,2024-10-20,1,CH,ECDC,soca_simplex,WIS,8.87677150531357,0.8050246726547378,11,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,CH,ISI,FluABCaster,WIS,29.8338399120575,-0.94381803937417,11,10,0.16450013950954934
2024-10-23,ILI incidence,2024-10-20,1,CH,ISI,FluBcast,WIS,28.6110374048333,-0.8834401696919275,11,9,0.21324986463161968
2024-10-23,ILI incidence,2024-10-20,1,CH,ISI,SEIR_BRW,WIS,26.4468928581133,-0.7699665962466499,11,8,0.2995282711230483
2024-10-23,ILI incidence,2024-10-20,1,CH,ItaLuxColab,EpiEKF,WIS,18.6143339099753,-0.2632823526672307,11,3,0.611790548529494
2024-10-23,ILI incidence,2024-10-20,1,CH,ItaLuxColab,EpiNetEKF,WIS,22.3357682384796,-0.5262242375158466,11,6,0.46342734228595445
2024-10-23,ILI incidence,2024-10-20,1,CH,RIVM,KFdlm,WIS,18.7568273025869,-0.27428417869882216,11,4,0.6061097344319701
2024-10-23,ILI incidence,2024-10-20,1,CH,respicast,hubEnsemble,WIS,24.6514883504222,-0.6685431134725536,11,7,0.37110604080848425
2024-10-23,ILI incidence,2024-10-20,1,CH,respicast,quantileBaseline,WIS,15.5092792146048,0.0,11,2,0.7355804181069793
2024-10-23,ILI incidence,2024-10-20,1,CH,safinea,syndromic,WIS,33.9600412911898,-1.1307065735726298,11,11,0.0
2024-10-23,ILI incidence,2024-10-20,1,CZ,ECDC,SARIMA,WIS,3.15976408966361,-0.5944843129524272,17,10,0.7593708933554498
2024-10-23,ILI incidence,2024-10-20,1,CZ,ECDC,soca_simplex,WIS,2.19261332404892,-0.06731887273363762,17,6,0.8428138328816772
2024-10-23,ILI incidence,2024-10-20,1,CZ,ISI,FluABCaster,WIS,3.19002128466279,-0.6082335132775851,17,11,0.7567603910611719
2024-10-23,ILI incidence,2024-10-20,1,CZ,ISI,FluBcast,WIS,4.83164920444863,-1.2071831766983838,17,15,0.6151255352502533
2024-10-23,ILI incidence,2024-10-20,1,CZ,ISI,RC_AdaptEns2,WIS,3.94078709324495,-0.9131512710967975,17,14,0.6919865127878456
2024-10-23,ILI incidence,2024-10-20,1,CZ,ItaLuxColab,EpiEKF,WIS,2.69731117377189,-0.3661894300825594,17,8,0.7992699784478913
2024-10-23,ILI incidence,2024-10-20,1,CZ,ItaLuxColab,EpiNetEKF,WIS,3.57136941582992,-0.7711448345561167,17,13,0.7238587895955573
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,CATBoost,WIS,1.30613273957533,0.6800310143308953,17,2,0.9192967851072189
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,NBEATS,WIS,1.7541698172357,0.25454411817990336,17,3,0.88064145637679
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,NHiTS,WIS,0.370736928805899,2.4968648036716132,17,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,Prophet,WIS,3.44414935043386,-0.7188151676379894,17,12,0.7348349647698789
2024-10-23,ILI incidence,2024-10-20,1,CZ,QMUL,ARIMA,WIS,2.14773255112468,-0.03748181445648508,17,5,0.846686014711185
2024-10-23,ILI incidence,2024-10-20,1,CZ,RIVM,KFdlm,WIS,6.07171621408627,-1.5367718254266147,17,16,0.5081361803611033
2024-10-23,ILI incidence,2024-10-20,1,CZ,fjordhest,ensemble,WIS,2.8159,-0.42826356421108436,17,9,0.7890384813460416
2024-10-23,ILI incidence,2024-10-20,1,CZ,respicast,hubEnsemble,WIS,2.40566642262425,-0.20110407090229557,17,7,0.8244322346321038
2024-10-23,ILI incidence,2024-10-20,1,CZ,respicast,quantileBaseline,WIS,2.09265217391304,0.0,17,4,0.8514381885688271
2024-10-23,ILI incidence,2024-10-20,1,CZ,safinea,syndromic,WIS,11.961301344513,-2.5149699159600853,17,17,0.0
2024-10-23,ILI incidence,2024-10-20,1,DK,ECDC,SARIMA,WIS,7.40704107405056,0.1611727475930692,16,5,0.8824686514386573
2024-10-23,ILI incidence,2024-10-20,1,DK,ECDC,soca_simplex,WIS,13.8607864758647,-0.7428671297940626,16,11,0.7065374846145889
2024-10-23,ILI incidence,2024-10-20,1,DK,ISI,FluABCaster,WIS,3.09559692211528,1.4198524546596125,16,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,DK,ISI,RC_AdaptEns2,WIS,3.25045440973366,1.3494286656286598,16,2,0.9957785352858066
2024-10-23,ILI incidence,2024-10-20,1,DK,ItaLuxColab,EpiEKF,WIS,8.11482207974348,0.029510621415607067,16,8,0.8631743145172681
2024-10-23,ILI incidence,2024-10-20,1,DK,ItaLuxColab,EpiNetEKF,WIS,4.62154640493177,0.8416944156850119,16,4,0.9584021283282999
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,CATBoost,WIS,18.0005972702347,-1.119902786740698,16,13,0.5936849163555966
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,NBEATS,WIS,29.160928034325,-1.8158946434962604,16,15,0.2894507250103617
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,NHiTS,WIS,9.43034590129346,-0.1872406043923679,16,10,0.827312713772205
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,Prophet,WIS,39.778951658618,-2.263863265572854,16,16,0.0
2024-10-23,ILI incidence,2024-10-20,1,DK,QMUL,ARIMA,WIS,3.58292667865914,1.2089315645453556,16,3,0.9867152347421776
2024-10-23,ILI incidence,2024-10-20,1,DK,RIVM,KFdlm,WIS,15.8255208242888,-0.9341109900472102,16,12,0.6529781969611879
2024-10-23,ILI incidence,2024-10-20,1,DK,fjordhest,ensemble,WIS,7.67726956521739,0.10947677988157128,16,7,0.8751021362137581
2024-10-23,ILI incidence,2024-10-20,1,DK,respicast,hubEnsemble,WIS,7.46268266306219,0.15037574549348293,16,6,0.8809518438998892
2024-10-23,ILI incidence,2024-10-20,1,DK,respicast,quantileBaseline,WIS,8.28252173913043,0.0,16,9,0.8586027680872445
2024-10-23,ILI incidence,2024-10-20,1,DK,safinea,syndromic,WIS,27.5394311981913,-1.7333567721668544,16,14,0.33365324813783864
2024-10-23,ILI incidence,2024-10-20,1,EE,ItaLuxColab,EpiEKF,WIS,44.0723475984043,-1.0425413741765686,6,3,0.6125357250632959
2024-10-23,ILI incidence,2024-10-20,1,EE,ItaLuxColab,EpiNetEKF,WIS,27.8974434014191,-0.3828005431504128,6,2,0.8889101143317293
2024-10-23,ILI incidence,2024-10-20,1,EE,RIVM,KFdlm,WIS,64.6261489931801,-1.5947856530264528,6,4,0.26134079751098205
2024-10-23,ILI incidence,2024-10-20,1,EE,respicast,hubEnsemble,WIS,68.3375047298876,-1.6753451978658955,6,5,0.19792628434919066
2024-10-23,ILI incidence,2024-10-20,1,EE,respicast,quantileBaseline,WIS,21.3958704347826,0.0,6,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,EE,safinea,syndromic,WIS,79.9212071702174,-1.9012460020752098,6,6,0.0
2024-10-23,ILI incidence,2024-10-20,1,FR,ECDC,SARIMA,WIS,12.1774863951967,0.2831597657251405,18,3,0.9496251632657963
2024-10-23,ILI incidence,2024-10-20,1,FR,ECDC,soca_simplex,WIS,13.7569660375884,0.10721380407406446,18,4,0.9133769580186765
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,FluABCaster,WIS,18.9276129865825,-0.35311634315536045,18,10,0.79471340146677
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,FluBcast,WIS,30.4629330213651,-1.039678716455539,18,15,0.5299840330154867
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,RC_AdaptEns2,WIS,25.658823214364,-0.7920788687899668,18,13,0.6402357600020963
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,SEIR_BRW,WIS,27.5835893983797,-0.8964340670315744,18,14,0.5960634149978454
2024-10-23,ILI incidence,2024-10-20,1,FR,ItaLuxColab,EpiEKF,WIS,11.6378693174922,0.34854918594985457,18,2,0.9620090839334062
2024-10-23,ILI incidence,2024-10-20,1,FR,ItaLuxColab,EpiNetEKF,WIS,16.8392696231377,-0.1844534280188309,18,8,0.8426397544458959
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,CATBoost,WIS,9.9824527771722,0.5699098899142739,18,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,NBEATS,WIS,43.2009557425076,-1.5436870926316417,18,17,0.2376532870874908
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,NHiTS,WIS,24.3462589744887,-0.7163239689291377,18,11,0.6703584008327089
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,Prophet,WIS,24.6257431704942,-0.732791126633158,18,12,0.6639443893898054
2024-10-23,ILI incidence,2024-10-20,1,FR,QMUL,ARIMA,WIS,16.0962619578459,-0.11934955240680375,18,7,0.859691379315779
2024-10-23,ILI incidence,2024-10-20,1,FR,RIVM,KFdlm,WIS,34.2026858644931,-1.2067334842343695,18,16,0.4441587238485161
2024-10-23,ILI incidence,2024-10-20,1,FR,fjordhest,ensemble,WIS,17.5913739130435,-0.24749202677414844,18,9,0.8253793669511491
2024-10-23,ILI incidence,2024-10-20,1,FR,respicast,hubEnsemble,WIS,13.779962523472,0.10480417267444879,18,5,0.9128492010803161
2024-10-23,ILI incidence,2024-10-20,1,FR,respicast,quantileBaseline,WIS,14.8182608695652,0.0,18,6,0.88902081447323
2024-10-23,ILI incidence,2024-10-20,1,FR,safinea,syndromic,WIS,53.5564623487826,-1.8536845300398148,18,18,0.0
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ECDC,SARIMA,WIS,0.208252334439433,0.2250295229229404,8,3,0.6225853997399695
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ECDC,soca_simplex,WIS,0.440806471342421,-0.8567832130846211,8,8,0.0
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ISI,FluABCaster,WIS,0.371091684607381,-0.6084134828670307,8,6,0.18663786826259604
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ISI,SEIR_BRW,WIS,0.0672767724447001,1.8551817906386345,8,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ItaLuxColab,EpiEKF,WIS,0.223219614924651,0.12489838439721875,8,4,0.582515545778193
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,RIVM,KFdlm,WIS,0.440441392700562,-0.855587869078091,8,7,0.000977375140280329
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,respicast,hubEnsemble,WIS,0.15659633187344,0.6363117715298051,8,2,0.7608769538477924
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,respicast,quantileBaseline,WIS,0.2434055713877,0.0,8,5,0.5284744440328235
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,ISI,FluABCaster,WIS,0.807418283244832,-0.2722611847158063,7,7,0.0
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,ISI,SEIR_BRW,WIS,0.169829029744811,1.9769719837618616,7,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,ItaLuxColab,EpiEKF,WIS,0.734586939508727,-0.13587817511649378,7,6,0.11422925235376886
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,RIVM,KFdlm,WIS,0.536484274993806,0.3175191865192565,7,4,0.4249350295095855
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,respicast,hubEnsemble,WIS,0.245044927214136,1.4480087898012746,7,2,0.8820307948158941
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,respicast,quantileBaseline,WIS,0.668559087082714,0.0,7,5,0.21778785542550458
2024-10-23,ILI incidence,2024-10-20,1,GB-NIR,safinea,syndromic,WIS,0.281796192622427,1.246402951598583,7,3,0.8243898210909661
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,ECDC,SARIMA,WIS,0.48953670830673,0.75089017943363,9,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,ECDC,soca_simplex,WIS,1.01975306596331,-0.307840714618617,9,7,0.41515881538871025
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,ISI,FluABCaster,WIS,0.622494382250493,0.40424640745084983,9,4,0.8533445405643324
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,ISI,SEIR_BRW,WIS,1.39613557926173,-0.7610599189314307,9,9,0.0
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,ItaLuxColab,EpiEKF,WIS,0.610640997946434,0.4319827707920487,9,3,0.8664191038401203
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,RIVM,KFdlm,WIS,0.592290609922141,0.4760020109110075,9,2,0.8866600159040885
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,respicast,hubEnsemble,WIS,0.817642448348148,0.010837128465480319,9,5,0.6380916074870074
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,respicast,quantileBaseline,WIS,0.823807479623084,0.0,9,6,0.631291432158704
2024-10-23,ILI incidence,2024-10-20,1,GB-SCT,safinea,syndromic,WIS,1.21123025470955,-0.5560940171499414,9,8,0.20395494686354854
2024-10-23,ILI incidence,2024-10-20,1,GB-WLS,respicast,quantileBaseline,WIS,1.2732221072757,0.0,1,1,0.0
2024-10-23,ILI incidence,2024-10-20,1,GR,ECDC,SARIMA,WIS,51.1445343707114,0.0699513802260432,17,8,0.9214230309332607
2024-10-23,ILI incidence,2024-10-20,1,GR,ECDC,soca_simplex,WIS,29.3981191278723,0.8688075975487168,17,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,GR,ISI,FluABCaster,WIS,64.1302815621411,-0.25647428840747283,17,10,0.8745012443318819
2024-10-23,ILI incidence,2024-10-20,1,GR,ISI,FluBcast,WIS,84.0784685599464,-0.6472049388014633,17,13,0.8024218668730969
2024-10-23,ILI incidence,2024-10-20,1,GR,ISI,RC_AdaptEns2,WIS,34.1692169534742,0.6518342665914181,17,2,0.9827604503054748
2024-10-23,ILI incidence,2024-10-20,1,GR,ItaLuxColab,EpiEKF,WIS,47.027800844979,0.1910175836828213,17,5,0.9362981466383193
2024-10-23,ILI incidence,2024-10-20,1,GR,ItaLuxColab,EpiNetEKF,WIS,40.0066900775156,0.42429017952765413,17,3,0.9616677350246531
2024-10-23,ILI incidence,2024-10-20,1,GR,MRC_GIDA,CATBoost,WIS,83.5546092318222,-0.638187962855895,17,12,0.8043147433661497
2024-10-23,ILI incidence,2024-10-20,1,GR,MRC_GIDA,NBEATS,WIS,105.153529269793,-0.9698939140763726,17,14,0.7262707231105597
2024-10-23,ILI incidence,2024-10-20,1,GR,MRC_GIDA,NHiTS,WIS,106.518951959649,-0.9885067810437969,17,15,0.721337000689382
2024-10-23,ILI incidence,2024-10-20,1,GR,MRC_GIDA,Prophet,WIS,306.15116141395,-2.511640798099404,17,17,0.0
2024-10-23,ILI incidence,2024-10-20,1,GR,QMUL,ARIMA,WIS,48.105526557398,0.15832880673662522,17,6,0.9324039682635612
2024-10-23,ILI incidence,2024-10-20,1,GR,RIVM,KFdlm,WIS,66.9096948051789,-0.3176838107992059,17,11,0.8644583077842695
2024-10-23,ILI incidence,2024-10-20,1,GR,fjordhest,ensemble,WIS,50.7729217391304,0.08047217022793149,17,7,0.9227657899089574
2024-10-23,ILI incidence,2024-10-20,1,GR,respicast,hubEnsemble,WIS,43.436448320954,0.3056253101379825,17,4,0.9492748875419031
2024-10-23,ILI incidence,2024-10-20,1,GR,respicast,quantileBaseline,WIS,53.6854617391305,0.0,17,9,0.9122418224904189
2024-10-23,ILI incidence,2024-10-20,1,GR,safinea,syndromic,WIS,277.865932121478,-2.3717856050962047,17,16,0.10220386037611728
2024-10-23,ILI incidence,2024-10-20,1,HR,ECDC,SARIMA,WIS,1.6918657951036,-2.823532609904281,10,10,0.0
2024-10-23,ILI incidence,2024-10-20,1,HR,ECDC,soca_simplex,WIS,0.130219737515994,0.8760624826185381,10,3,0.9612682541917702
2024-10-23,ILI incidence,2024-10-20,1,HR,ISI,FluABCaster,WIS,0.0672973660747742,1.8283886722284142,10,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,HR,ISI,FluBcast,WIS,0.0751924903119626,1.66835013005607,10,2,0.9951401713242033
2024-10-23,ILI incidence,2024-10-20,1,HR,ISI,SEIR_BRW,WIS,0.304181023725169,-0.34791953541020165,10,8,0.8541867160424846
2024-10-23,ILI incidence,2024-10-20,1,HR,ItaLuxColab,EpiEKF,WIS,0.554419031766747,-1.2139661640963675,10,9,0.700153187155572
2024-10-23,ILI incidence,2024-10-20,1,HR,ItaLuxColab,EpiNetEKF,WIS,0.242894028811098,-0.02331640568910095,10,7,0.8919118089465174
2024-10-23,ILI incidence,2024-10-20,1,HR,RIVM,KFdlm,WIS,0.175668296738394,0.4441567698607834,10,5,0.9332924801890897
2024-10-23,ILI incidence,2024-10-20,1,HR,respicast,hubEnsemble,WIS,0.13654041489555,0.8076825773948029,10,4,0.9573775732782339
2024-10-23,ILI incidence,2024-10-20,1,HR,respicast,quantileBaseline,WIS,0.239,0.0,10,6,0.894308770959023
2024-10-23,ILI incidence,2024-10-20,1,HU,ECDC,SARIMA,WIS,9.77134603602627,0.5503856881931433,13,2,0.984005114364109
2024-10-23,ILI incidence,2024-10-20,1,HU,ECDC,soca_simplex,WIS,21.1288020434799,-0.5621960666423109,13,9,0.8498808233562231
2024-10-23,ILI incidence,2024-10-20,1,HU,ISI,RC_AdaptEns2,WIS,14.2965002075161,0.0013528877720656216,13,6,0.9305659379716021
2024-10-23,ILI incidence,2024-10-20,1,HU,ItaLuxColab,EpiEKF,WIS,12.7137247829375,0.17062814180451044,13,5,0.94925750336327
2024-10-23,ILI incidence,2024-10-20,1,HU,ItaLuxColab,EpiNetEKF,WIS,15.58426596698,-0.12307529900309017,13,8,0.9153582480312692
2024-10-23,ILI incidence,2024-10-20,1,HU,MRC_GIDA,CATBoost,WIS,9.81214340482097,0.544374681118384,13,3,0.9835233235333997
2024-10-23,ILI incidence,2024-10-20,1,HU,MRC_GIDA,NBEATS,WIS,93.0955128481562,-2.701696727043398,13,13,0.0
2024-10-23,ILI incidence,2024-10-20,1,HU,MRC_GIDA,NHiTS,WIS,70.2733802036927,-2.2959633896536222,13,12,0.2695147890705219
2024-10-23,ILI incidence,2024-10-20,1,HU,MRC_GIDA,Prophet,WIS,42.2775161260738,-1.562875713173661,13,11,0.600128037151739
2024-10-23,ILI incidence,2024-10-20,1,HU,QMUL,ARIMA,WIS,8.41692165406847,0.7656503116231012,13,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,HU,RIVM,KFdlm,WIS,35.0643658991982,-1.2929907333616313,13,10,0.6853107276660708
2024-10-23,ILI incidence,2024-10-20,1,HU,respicast,hubEnsemble,WIS,10.4050721451328,0.45972793706838566,13,4,0.9765212143585692
2024-10-23,ILI incidence,2024-10-20,1,HU,respicast,quantileBaseline,WIS,14.3099130434783,0.0,13,7,0.9304075409579879
2024-10-23,ILI incidence,2024-10-20,1,IE,ECDC,SARIMA,WIS,2.59741667594203,-2.2106693993835362,18,17,0.3079658937196798
2024-10-23,ILI incidence,2024-10-20,1,IE,ECDC,soca_simplex,WIS,0.901515365093424,-0.6840159163137225,18,7,0.8152664802309469
2024-10-23,ILI incidence,2024-10-20,1,IE,ISI,FluABCaster,WIS,1.22071941060819,-1.1213235572360714,18,12,0.7197819149024484
2024-10-23,ILI incidence,2024-10-20,1,IE,ISI,FluBcast,WIS,2.5658243259915,-2.1930143275430307,18,16,0.31741621819118654
2024-10-23,ILI incidence,2024-10-20,1,IE,ISI,RC_AdaptEns2,WIS,0.444759508735279,0.3353107143937679,18,3,0.9518973751660991
2024-10-23,ILI incidence,2024-10-20,1,IE,ISI,SEIR_BRW,WIS,1.23009376569368,-1.1323602218673383,18,13,0.7169777329594234
2024-10-23,ILI incidence,2024-10-20,1,IE,ItaLuxColab,EpiEKF,WIS,1.02628426985919,-0.8710223281009105,18,8,0.7779439437359609
2024-10-23,ILI incidence,2024-10-20,1,IE,ItaLuxColab,EpiNetEKF,WIS,1.05441518451373,-0.9100349822710777,18,9,0.7695290498903953
2024-10-23,ILI incidence,2024-10-20,1,IE,MRC_GIDA,CATBoost,WIS,0.283952865336574,0.9826846944021139,18,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,IE,MRC_GIDA,NBEATS,WIS,0.667226247869234,-0.2498398794550091,18,5,0.8853501612922966
2024-10-23,ILI incidence,2024-10-20,1,IE,MRC_GIDA,NHiTS,WIS,0.370340769832297,0.5994827835926452,18,2,0.9741584994729261
2024-10-23,ILI incidence,2024-10-20,1,IE,MRC_GIDA,Prophet,WIS,1.16481842147929,-1.0536970074729815,18,11,0.7365037632731302
2024-10-23,ILI incidence,2024-10-20,1,IE,QMUL,ARIMA,WIS,1.24714672048991,-1.1522231314855111,18,14,0.7118766260055354
2024-10-23,ILI incidence,2024-10-20,1,IE,RIVM,KFdlm,WIS,1.15703339622974,-1.0440224370943467,18,10,0.7388325237085623
2024-10-23,ILI incidence,2024-10-20,1,IE,fjordhest,ensemble,WIS,1.60407826086957,-1.5153364612792477,18,15,0.6051065099494509
2024-10-23,ILI incidence,2024-10-20,1,IE,respicast,hubEnsemble,WIS,0.766206143267128,-0.44939642869740726,18,6,0.8557419767434858
2024-10-23,ILI incidence,2024-10-20,1,IE,respicast,quantileBaseline,WIS,0.561130434782609,0.0,18,4,0.9170869539116162
2024-10-23,ILI incidence,2024-10-20,1,IE,safinea,syndromic,WIS,3.62694389657391,-2.6923463597097617,18,18,0.0
2024-10-23,ILI incidence,2024-10-20,1,IS,respicast,quantileBaseline,WIS,0.752652173913044,0.0,1,1,0.0
2024-10-23,ILI incidence,2024-10-20,1,IT,respicast,quantileBaseline,WIS,147.64967826087,0.0,1,1,0.0
2024-10-23,ILI incidence,2024-10-20,1,LT,ECDC,SARIMA,WIS,2.81920624636549,-1.3955693681691468,16,16,0.0
